player_id,player_name,player_country_flag,game_controller,base_mmr,base_lr,strikes,game_counter,is_placement,reset_game_counter,current_mmr,current_lr,peak_mmr,peak_lr,lowest_mmr,lowest_lr,wins,loss,max_gain_mmr,max_gain_lr,max_loss_mmr,max_loss_lr,win_percentage,gainloss10_mmr,gainloss10_lr,wins10,loss10,win10_percentage,win_streak,top_score,average_score,average10_score,std_score,std10_score,total_events,penalties,max_strikes,ranking,percentile,previous_ranking,previous_percentile,last_event_date,total_events_since_date,since_date,update_date,current_division,current_class,url,current_emblem
1384,jaker,un,ccp,10000,8000,3,0,0,15,10703,10574,10703,10574,9193,7912,21,9,261,237,-299,-173,0.7,902,996,9,1,0.9,3,144,94.0568,95,22.3957,10.0399,30,0,5,1,99.8986,1,99.8984,"2025-04-13 03:42:31",30,,"2025-04-13 03:42:31",Pearl,"High Tier",https://www.mkwlounge.gg/ladder/player.php?player_id=1384&ladder_id=15,https://i.imgur.com/1x0lhBl.png
2562,"superman py",un,none,9723,8000,0,0,0,15,10801,10127,10801,10127,8977,7942,10,3,764,688,-476,-164,0.769231,1660,2033,9,1,0.9,8,131,97.8182,102.7,24.9757,20.5915,13,0,5,2,99.7972,2,99.7967,"2025-04-16 13:25:52",13,,"2025-04-16 13:25:55",Pearl,"High Tier",https://www.mkwlounge.gg/ladder/player.php?player_id=2562&ladder_id=15,https://i.imgur.com/1x0lhBl.png
1061,Fresh,us,,9164,7519,2,1,0,15,9819,9765,10099,9765,9097,7519,19,7,381,461,-471,-179,0.730769,678,827,8,2,0.8,5,116,85.6382,93.8,20.6124,12.4643,26,0,5,3,99.6957,3,99.6951,"2025-04-16 00:14:41",26,,"2025-04-16 00:14:42",Pearl,"High Tier",https://www.mkwlounge.gg/ladder/player.php?player_id=1061&ladder_id=15,https://i.imgur.com/1x0lhBl.png
1614,Kasperinos,us,nunchuk,10000,8000,0,13,0,15,10462,9620,10462,9620,9823,8000,11,2,225,254,-249,-67,0.846154,434,1225,9,1,0.9,7,127,92.9231,88.1,25.0951,26.178,13,100,5,4,99.5943,12,98.7805,"2025-04-16 16:59:15",13,,"2025-04-16 16:59:16",Pearl,"High Tier",https://www.mkwlounge.gg/ladder/player.php?player_id=1614&ladder_id=15,https://i.imgur.com/1x0lhBl.png
556,batmanpam,se,,9898,7798,1,8,0,15,10785,9598,-1,-1,-1,-1,4,0,553,683,-67,0,1,887,1800,4,0,1,4,0,0,0,0,0,4,0,5,5,99.4929,5,99.4919,"2025-04-05 18:21:00",4,,"2025-04-05 18:21:00",Pearl,"High Tier",https://www.mkwlounge.gg/ladder/player.php?player_id=556&ladder_id=15,https://i.imgur.com/1x0lhBl.png
2203,Monty,gb,,8040,6256,0,9,0,15,9301,9472,9407,9539,7051,6256,41,26,322,215,-417,-235,0.61194,330,353,6,4,0.6,-1,141,84.3582,85.3,16.3814,21.1426,67,100,5,6,99.3915,6,99.3902,"2025-04-16 14:38:03",67,,"2025-04-16 14:38:05",Sapphire,"High Tier",https://www.mkwlounge.gg/ladder/player.php?player_id=2203&ladder_id=15,https://i.imgur.com/MyTyesj.png
3510,Thunda,ca,,10000,8000,0,14,0,15,10039,9446,10232,9446,9746,8000,10,4,195,235,-300,-104,0.714286,434,1272,8,2,0.8,2,134,90.5,95,19.6859,20.3421,14,-100,5,7,99.2901,7,99.2886,"2025-04-14 02:39:21",14,,"2025-04-14 02:39:22",Sapphire,"High Tier",https://www.mkwlounge.gg/ladder/player.php?player_id=3510&ladder_id=15,https://i.imgur.com/MyTyesj.png
4301,byron,fr,ccp,8296,6524,1,0,0,15,9096,9428,9442,9672,8190,6524,55,31,289,267,-378,-233,0.639535,-186,-41,6,4,0.6,1,119,85,85.8,16.8309,18.8191,86,0,5,8,99.1886,8,99.187,"2025-04-16 13:25:52",86,,"2025-04-16 13:25:53",Sapphire,"High Tier",https://www.mkwlounge.gg/ladder/player.php?player_id=4301&ladder_id=15,https://i.imgur.com/MyTyesj.png
1207,Kevin,de,nunchuk,9816,7982,1,9,0,15,9408,9375,9966,9574,9340,7979,12,7,176,206,-476,-144,0.631579,-477,255,4,6,0.4,-2,128,84.3889,79,22.8209,22.8386,19,0,5,9,99.0872,9,99.0854,"2025-04-11 19:23:45",19,,"2025-04-11 19:23:47",Sapphire,"High Tier",https://www.mkwlounge.gg/ladder/player.php?player_id=1207&ladder_id=15,https://i.imgur.com/MyTyesj.png
3732,xWill,us,ccp,7047,5408,2,2,0,15,9102,9369,9813,9762,6904,5381,30,11,614,608,-390,-229,0.731707,-469,16,5,5,0.5,-2,111,79.0429,78.6,17.749,8.46404,42,0,5,10,98.9858,4,99.5935,"2025-04-16 06:06:53",42,,"2025-04-16 06:06:55",Sapphire,"High Tier",https://www.mkwlounge.gg/ladder/player.php?player_id=3732&ladder_id=15,https://i.imgur.com/MyTyesj.png
